,Subtitle,Emotion,Analyzer_Output,New_Emotion
1292,i am sorry that you feel i deserve to be blamed for the friends i pick all of which are better then some of the friends i could be hanging out with getting high and drunk while underage ,sadness,Negative,Despair
1293,i feel that it is dangerous to portray angels as walking the earth and intermarrying with humans ,anger,Negative,Resentment
1294,i am feeling a bit nostalgic so decided to take a tour through my memory lane ,love,Neutral,Love
1295,i feel excited about something that is soley for me here is the video about it ,joy,Positive,Elation
1296,i feel like i m a doomed gladiator in a stadium constructed of cardboard and copies of romeo and juliet and the outsiders are screaming for my blood ,sadness,Neutral,Sadness
1297,i think she just rolled out i guess she s over it already i m kinda feeling that but no one has performed yet and word on the street is there is supposed to be a surprised performance by lil wayne nikki minaj and drake that would be dope ,surprise,Negative,Dismay
1298,i feel a tender compassion glancing at her huge and heavy rucksack ,love,Positive,Passion
1299,i feel romantic and passionate toward my partner ,love,Positive,Passion
1300,i hated the day job and after a few months of feeling like i was being cosmically punished for doing a good deed i was getting ready to quit when i met the woman that would become my wife ,sadness,Positive,Hopefulness
1301,i feel ashamed that i again let it come that far ,sadness,Negative,Despair
1302,i feel a little ashamed that i had such low expectations in the first place ,sadness,Negative,Despair
1303,i started feeling very gentle contractions about minutes apart ,love,Positive,Passion
1304,i feel like im being a terrible person and that hes going to hate me for thinking these things ,sadness,Negative,Despair
1305,i feel like a post might be devoted to dealing with emotions caused by situations vs ,love,Positive,Passion
1306,i flung into my suitcase at the last minute didn t break on the crossing over or explode in the pressurized cabin so thus far i m feeling pretty splendid about things ,joy,Neutral,Happiness
1307,i need to listen to a song where i can be angry and feel accepted at the same time ,joy,Negative,Discontentment
1308,i find myself seeking and yearning for love and acceptance from people that can not provide it and then being disappointed when i am alone and feeling unloved and unworthy ,sadness,Negative,Despair
1309,i feel accepted and appreciated by my teammates and peers ,love,Positive,Passion
1310,i know that feeling for sure ,joy,Neutral,Happiness
1311,i was left feeling bothered by it for a long time afterwards ,anger,Negative,Resentment
1312,i feel like hopeless helpless worthless scum ,sadness,Negative,Despair
1313,i feel so blessed to have both lisa and god as friends in this life ,joy,Neutral,Happiness
1314,i stopped feeling bitter and sorry for myself and lost myself in the work my work started getting better or rather continued to get better ,anger,Positive,Determination
1315,i am still feeling a little remorseful that we didnt just break down and buy it ,sadness,Negative,Despair
1316,i feel more and more stressed ,anger,Neutral,Anger
1317,i do not feel like i am intelligent enough to be a teacher ,joy,Positive,Elation
1318,i feel naughty just being this girls friend ,love,Negative,Heartbreak
1319,i would stay in charge thereby helping z to feel safe yet at the same time be nurturing and loving ,joy,Positive,Elation
1320,i fully enjoy music when i feel afraid using headphones ,fear,Neutral,Fear
1321,i feel so cranky right now ,anger,Neutral,Anger
1322,i feel all festive sitting down with my address book and list christmas songs in the background and writing a personal message in each one congratulations on your exam results ,joy,Positive,Elation
1323,ive had so much more energy no more slugging around feeling lethargic after massive takeaways and choccy binges and my skin started to clear up instantly ,sadness,Positive,Hopefulness
1324,i feel pretty insecure about my current relationship ,fear,Neutral,Fear
1325,i enjoy hearing the faith stories of other believers sometimes these stories leave me feeling inadequate and guilty ,sadness,Neutral,Sadness
1326,i feel like ending my life like some song from damaged or something ,sadness,Positive,Hopefulness
1327,i feel totally rejected ,sadness,Negative,Despair
1328,i say no i feel guilty begins by giving you the reasons for and benefits of being assertive without being aggressive ,sadness,Negative,Despair
1329,i feel more jaded ,sadness,Negative,Despair
1330,i feel a little strange chasing after them since im so disappointed in the brand as a whole ,fear,Negative,Anxiety
1331,i didn t feel too hot from the swim ,love,Positive,Passion
1332,i was to her in fact so i m taking that as she feels regretful for what she has done ,sadness,Negative,Despair
1333,i feel embarrassed by it ,sadness,Neutral,Sadness
1334,i perceive you feel the dint of pity these are gracious drops ,joy,Neutral,Happiness
1335,i always feel slightly worthless almost self condemning like i should be doing more amounting more saving the world one day at a time a preacher on a podium a counselor for teen single struggling mom s a writer a motivational speaker a super mom to my baby boy ,sadness,Neutral,Sadness
1336,i chose to live my life as a normal person who has feelings wants and desires i have talked up for myself been faithful to myself and i have been determined to be treated with dignity and respect ,love,Positive,Passion
1337,i feel this violence is petty and impractical ,anger,Negative,Resentment
1338,im feeling a bit more sociable now although i dont think ill be able to express everything i want to say ,joy,Positive,Elation
1339,i try not to laugh because sometimes it hurts vellas feelings but some of the things he does are so funny ,surprise,Negative,Dismay
1340,i love tall guys they make me feel so little and innocent however innocent was the last thing that i was that night ,joy,Positive,Elation
1341,i feel strongly about or a line that i want to draw in the sand so to speak i shouldn t be afraid especially at this point to bring up how i feel about what my conclusion should entail etc ,fear,Negative,Anxiety
1342,i feel civilly disturbed class delicious title share this on del ,sadness,Neutral,Sadness
1343,i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing ,fear,Neutral,Fear
1344,i feel is a dumb plot idea ,sadness,Negative,Despair
1345,im doing things that make me feel brave and strong i have a a href http derfwadmanor ,joy,Positive,Elation
1346,i just feel cold and drained all the time im either hungry or tired or cold at the moment and it sort of sucks ,anger,Negative,Resentment
1347,i have to leave my hair alone now if im feeling impatient ,anger,Negative,Resentment
1348,i feel not surprised by where i ended up i m happy with a lot of what i ve achieved the positions i ve put myself in ,surprise,Positive,Excitement
1349,i just love the colors and the way the yarns feel i also love supporting small businesses and it allows me to provide quality products in my own shop ,joy,Positive,Elation
1350,i am not normally the kind of person who gets emotional upon meeting a public figure but as strange as it sounds seeing you yesterday for the first time ever the feeling came over me was the feeling one might feel upon seeing a beloved favorite loving aunt lol ,love,Positive,Passion
1351,i am reliving all of the feelings of being rejected less than and not good enough from years ago ,sadness,Positive,Hopefulness
1352,i love a movie with a good feel to it that really keeps you enthralled and the road has just that ,surprise,Positive,Excitement
1353,i was feeling quite casual that day ,joy,Neutral,Happiness
1354,i should feel like successful independent woman a la destinys child no ,joy,Positive,Elation
1355,i feel funny telling you about my name change anyway gracias por todo ,surprise,Negative,Dismay
1356,i feel guilty to my family my friends who made the introduction for me to that job and somehow i even feel guilty to my boss even though he fooled and lied to me ,sadness,Negative,Despair
1357,i feel lovely ,love,Positive,Passion
1358,i remember feeling more amused than sensing that i was in any real danger however i must have been experiencing a little bit of shock ,joy,Negative,Discontentment
1359,i feel greedy but too idealistic what is it to expect she would want you to talk to me your proported best friend that she might be happy you have me ,anger,Positive,Determination
1360,im feeling a little gun shy about this ,fear,Neutral,Fear
1361,i feel a bit stressed so i get up and take two rescue tablets ,sadness,Neutral,Sadness
1362,i feel im being hated ,sadness,Negative,Despair
1363,i am feeling so morose right now i hate how little things like this have enough power to distract me from my day to day life ,sadness,Positive,Hopefulness
1364,i also like to knit but dont do it as intensely as when i was nowadays i mostly knit socks which gives me the feeling that watching tv isnt that useless because i can knit while watching a film or series ,sadness,Neutral,Sadness
1365,i was afraid to clean nicos ears but after his doctor showed me how then i didnt feel like i could hurt him ,sadness,Neutral,Sadness
1366,i feel that now i am a lot less irritable than i was before ,anger,Negative,Resentment
1367,i tend to think that it kinda contributed to my medium intelligence and made me understand and feel things in a clever and sensible way in the visual arts field especially but i m always feeling that i m losing that more and more ,joy,Positive,Elation
1368,i think a lot of the fun there is in meeting the players expectation and making the player feel clever making it seem like they re not just clicking on an option you know ,joy,Positive,Elation
1369,ive had that vomity shocked feeling from jealousy before and its not something you want to keep feeling and its definitely something you want to get resolved as soon as possible ,joy,Negative,Discontentment
1370,i like to read this when i am feeling inadequate i know mistakes happen and sometimes they are the perfect mistake ,sadness,Negative,Despair
1371,i am sure at least i hope so that the woman who responded by saying so that he could help out with the kids also feel this way but what surprised me was that all the reasons i listed above were second ,surprise,Neutral,Surprise
1372,i loved the feeling i got during an amazing slalom run whether it was in training or in a race ,surprise,Positive,Excitement
1373,i felt out of control i hated myself for feeling it then felt more out of control hated myself for hating that i hated it and it just got worse until i was walking to work in a haze trying to not curl up on the pavement and just ,anger,Negative,Resentment
1374,i have a feeling if he balks at the soup it will be divine enough for me to finish all by myself ,joy,Positive,Elation
1375,i feel festive ,joy,Positive,Elation
1376,ill smoke a few cigarettes because im feeling a little nervous ,fear,Negative,Anxiety
1377,i may not feel hopeful and many days i do not but these truths i must call to mind the lord is my portion therefore i will hope in him ,joy,Positive,Elation
1378,i just feel heartbroken vunerable and sick tonight ,sadness,Negative,Despair
1379,im feeling very indecisive about turning eighteen but hey the age does come with its own ups and downs right ,fear,Neutral,Fear
1380,i stop feeling so mad i ll stop behaving like this ,anger,Neutral,Anger
1381,i invite him to send me an email detailing all the ways he feels that ive wronged him and i promise to post it unedited outside of names or what not in this blog ,anger,Positive,Determination
1382,i was feeling so reluctant the whole day today the only thing that i feel like doing is just sticking my ass on the benches ground having heart to heart talks with my favs staring into space and nothing ,fear,Neutral,Fear
1383,im feeling hot already after tackling the front hedge ,love,Neutral,Love
1384,im feeling confused but ill keep trudging through ,fear,Negative,Anxiety
1385,im feeling quite cold actually ,anger,Negative,Resentment
1386,this happened when i could not get into the school i had initially wanted ,anger,Neutral,Anger
1387,i feel that is why she suddenly got mad at mom ,anger,Negative,Resentment
1388,i could also feel very bad about myself for not being able to keep up ,sadness,Negative,Despair
1389,i feel scared and stupid ,fear,Negative,Anxiety
1390,i feel like our relationship revovles around sex and when we do he wants it to be really adventurous trying new things using toys etc ansi just find it exhausting trying to keep up ,joy,Positive,Elation
1391,i try to feel confident about it but when ever our eyes meet i feel strong like in gym we have the exercise machines and i could only do lbs on average and i always wanted to do ,joy,Positive,Elation
1392,i feel about them i still end up nervous and have those naughty butterflies flying around my stomach ,fear,Negative,Anxiety
1393,i am feeling very anxious about going to therapy w ,fear,Negative,Anxiety
1394,i feel angry thinking how much the government has gulped away over money ,anger,Negative,Resentment
1395,i am feeling a bit adventurous i put on red lipstick rouge artist and intense from make up for ever ,joy,Neutral,Happiness
1396,i have no idea why this particular region seems to lack a visibly necessary outer carniola as well and i feel actually somewhat bothered by this possible evidence of lack of suburban spirit ,anger,Negative,Resentment
1397,im putting it in my palm and blowing on it hoping it gets to the ears of the universe and its feeling a little generous the day it reaches them ,joy,Positive,Elation
1398,i am feeling generous so you can pick any reason you like but make sure you take your wise mothers advice so i dont feel the need to drag all this to court ,joy,Positive,Elation
1399,i feel like telling these horny devils to find a site more suited to that sort of interest the playboy if there is one forum perhaps ,love,Positive,Passion
1400,i used to get the worthless feeling like i said previously my gear was going on ebay but now catch or not i m not bothered it is all about having a go i think a little more when fish are thin on the ground but not dejected or angry ,anger,Negative,Resentment
1401,i understand the logic of having a student congress but i cant help but feel thats its really really really boring ,sadness,Negative,Despair
1402,i am feeling unsure about my words but it also means i am writing which is good ,fear,Neutral,Fear
1403,i want to be someone that people can approach and feel accepted by and not judged because i do feel that people feel judged by me ,joy,Neutral,Happiness
1404,i has for this other woman she feels greedy and wants kairi all for herself ,anger,Negative,Resentment
1405,i can admit that even though i feel horrible now ,sadness,Negative,Despair
1406,i feel almost angry that i have been fed like a lab rat for so many years ,anger,Neutral,Anger
1407,i feel totally drained emotionally and physically the holy spirit never ceases to fill me up and speak to me ,sadness,Neutral,Sadness
1408,i feel very nostalgic because i have enjoyed this essence ,love,Positive,Passion
1409,i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote ,anger,Negative,Resentment
1410,im waiting in my paper gown and plastic slippers for them to call me feeling very apprehensive but a bit dopey in the head due to lack of food ,fear,Negative,Anxiety
1411,i also intended to study but that didn t happen either so here i am feeling a little less virtuous amp holier than thou than i would if i had actually done something constructive over the past week ,joy,Positive,Elation
1412,i notice a lump or feel pain in any part of my body i will somehow become fearful or scared ,fear,Negative,Anxiety
1413,i came away feeling that i should have felt unfortunate or cheated ,sadness,Negative,Despair
1414,i was feeling so regretful i didnt get it the other time ,sadness,Negative,Despair
1415,i will usually tell him that i was feeling frustrated for whatever reason and ask him to help me fix it ,anger,Negative,Resentment
1416,i always feel so delighted to know that there are so many other people who are just as inspired and in love with the old fashioned graphics and illustrations as i am ,joy,Positive,Elation
1417,i went into the movie i was feeling skeptical and slightly nervous that i was going to be disappointed ,fear,Negative,Anxiety
1418,i feel without being disturbed by it ,sadness,Negative,Despair
1419,i feel like im so fucking loyal i would never do that to my boyfriend so why am i settling for someone who doesnt have the same values ,love,Positive,Passion
1420,i cant feel them loving me back ,love,Positive,Passion
1421,im feeling a little saddened and troubled too sorry for a couple of friends who i wish i could give big hugs to ,sadness,Negative,Despair
1422,i hate all shopping when i feel rushed by hoards of people ,anger,Negative,Resentment
1423,id feel like a heartless bitch if i didnt share these with anybody ,anger,Negative,Resentment
1424,i understand that students must pass the mcas and fulfill other tasks but as idealized in freedom writers students will respond better learn and understand faster if they feel respected and valued and if they are excited about their education ,joy,Positive,Elation
1425,i always forgive and am still feeling hurt ,sadness,Negative,Despair
1426,i feel frustrated and upset and demotivated when i dont see a whole picture of the curriculum that im studying for example english class ,anger,Negative,Resentment
1427,im trying to focus on not feeling sorry for myself and not being upset over the loss of a material possession ,sadness,Negative,Despair
1428,im feeling so disillusioned with it all right now ,sadness,Neutral,Sadness
1429,i am beginning to feel startled by how little of last week i remember ,fear,Neutral,Fear
1430,i feel superior because i actually know who their president is ,joy,Positive,Elation
1431,i feel like other books i pick up are going to be dull and boring in comparison ,sadness,Negative,Despair
1432,i took steps and immediately remembered the feeling i had when my water broke with jack ,sadness,Negative,Despair
1433,i feel most passionate and artistic and settled into my craft ,joy,Positive,Elation
1434,i cant let all these feeling in one blink im not a heartless person like you i give you a lot of change i give you a lot of change to come and change your decisions i give you a lot of change to find me but you threw it like a crap ,anger,Neutral,Anger
1435,im feeling a little stressed about it ,sadness,Neutral,Sadness
1436,i was also feeling really pleased that i decided well cajoled bullied and ordered to go out running this evening ,joy,Positive,Elation
1437,i am slowly paying off my debts and i feel generally happy about where i am and what im doing ,joy,Negative,Discontentment
1438,i need to take my own advice and the advice of many many writers who i admire get the butt in the chair every day even if youre feeling distracted or stressed or whatever ,anger,Positive,Determination
1439,i feel fearless janelle mon e elle canada february img width height src http www ,joy,Positive,Elation
1440,i need to tell someone how i feel you are gorgeous ,joy,Positive,Elation
1441,i feel rude for ignoring your plea for help and its all your fault ,anger,Negative,Resentment
1442,i never have it feels insincere and a little nosy you get a hint that something might be wrong and want to jump in and get all the details ,anger,Negative,Resentment
1443,i love the museums there and although i love art i feel very dumb not knowing all of these paintings ,sadness,Positive,Hopefulness
1444,ive to admit im feeling excited yet so unprepared for the surgery ,joy,Neutral,Happiness
1445,i feel like im so enraged ,anger,Neutral,Anger
1446,i feel dumb for even liking you ,sadness,Neutral,Sadness
1447,im sure ill also feel a bit nervous ,fear,Negative,Anxiety
1448,i can feel myself getting triggered by my emotional eating when i am sick with either a cold virus or just plain old stomach flu ,sadness,Negative,Despair
1449,i could listen for hours without feeling either threatened or the slightest bit shocked ,fear,Negative,Anxiety
1450,i feel the divine envelope me when i watch literally hundreds of faithful at mass in line for eucharist hundreds of people who include professors homeless bankers students rich poor mentally ill healthy conservatives liberals gay straight sweet rude arrogant kind ,joy,Positive,Elation
1451,im feeling a little uptight and pinched today ,fear,Neutral,Fear
1452,i like this so much but i feel like somehow this will be a term that becomes more popular in the future ,joy,Positive,Elation
1453,im also feeling more energetic and able to keep going for a better part of the day ,joy,Positive,Elation
1454,i feel generous this evening and id like to share a pie crust recipe to help those who have struggled with trying to make a pie ,joy,Positive,Elation
1455,i am writing this i remember between feeling assured i wasnt dead and checking the window that me and my mom started fighting ,joy,Negative,Discontentment
1456,i am already feeling homesick for a country that isnt mine own ,sadness,Neutral,Sadness
1457,i feel so selfish but i just want to keep my baby close for awhile and not let the rest of the world in unless i feel like it ,anger,Neutral,Anger
1458,i liked my keyboard being kicked in my teeth and feeling lousy about myself as a writer but because i want to know how i can improve and wonder what i did wrong to earn only one star ,sadness,Positive,Hopefulness
1459,i feel the less successful pieces were my two front covers as the images i used here were taken from movie stills ,joy,Positive,Elation
1460,i have the emotions but have learned that to feel them to let myself become agitated or excited means that my heart and heat jumps the regulated limits of what can be sustained ,fear,Neutral,Fear
1461,i feel confident that we will be blessed with other children in the lords timing ,joy,Positive,Elation
1462,i am pleased and a little disturbed i guess that these feelings of melancholy lead me right back to the thing that brings them on ,sadness,Positive,Hopefulness
1463,i feel like it is conor at his most sincere ,joy,Positive,Elation
1464,i know i should just let the words flow like how they do when i blog but still i feel the pressure and that is making me unsure of my skills ,fear,Neutral,Fear
1465,i may be feeling more generous than normal but i really think a lot of teams did well in drafting good players at good spots and filling needs ,joy,Positive,Elation
1466,ill let you in on a few more huge dieting secrets just because im feeling very festive and giving right now ,joy,Positive,Elation
1467,i feel as though you are determined to annoy me you know i dont want you listening to the radio ,joy,Negative,Discontentment
1468,i feel like i ll never be as graceful an ,joy,Positive,Elation
1469,i am feeling stressed ,sadness,Neutral,Sadness
1470,i don t feel super strongly about it ,joy,Positive,Elation
1471,i can feel the cold of winter ,anger,Negative,Resentment
1472,i feel and look gorgeous beautiful and sexy ,joy,Positive,Elation
1473,im feeling all triumphant you may high five me if you choose mind you ill laugh at you but ,joy,Positive,Elation
1474,i can no longer wear my t shirts without feeling like i m supporting a totally different band ,joy,Positive,Elation
1475,ive been without a home without somewhere that i feel truly welcomed and safe ,joy,Positive,Elation
1476,i feel more in control and less frightened about my headaches and migraine attacks excellent service ,fear,Negative,Anxiety
1477,i am feeling extremely contented with our decision to home educate ,joy,Neutral,Happiness
1478,i guess the trick is i need to go in strong and get what i want and not feel bashful over it ,fear,Negative,Anxiety
1479,i was a bit too nervous to focus on the faces and the feeling was not unpleasant i wanted to put in a joke to start with especially since it involved the key note speaker and i thought it was funny ,sadness,Negative,Despair
1480,im starting to dislike the feeling of not caring about whats going to happen tomorrow ,love,Negative,Heartbreak
1481,i really dont like the whole harvest y time feel im not keen on spending my time in the morning attempting to style my hair only to have it completely ruined within a minute of walking outside into the damp air ,joy,Positive,Elation
1482,i feel we have a wonderful thing called a minute breathing space you can stop any time in the day even when you are driving along the motorway or in the middle of an important telephone call ,joy,Positive,Elation
1483,i then said i dont know what you believe the most important day you have ever lived is but i want to share with you what i feel the most important day of your life is ,joy,Positive,Elation
1484,i feel that time frame is going properly i m keen on you plenty probably we could repeat this once more and then the lady may possibly grin at you as well as claim the girl loves as well ,joy,Positive,Elation
1485,i feel so bitchy suddenly ,anger,Negative,Resentment
1486,i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me ,joy,Positive,Elation
1487,i like to finish on a positive note that whenever i feel a bit fearful or down i can just remember something nice about me and rich and it cheers me up ,fear,Positive,Courage
1488,i feel defective or something ,sadness,Negative,Despair
1489,i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off ,anger,Negative,Resentment
1490,i feel so lucky to have the opportunity to be here ,joy,Positive,Elation
1491,i enjoy my life and wish to help as many people as possible to feel fabulous about themselves but i can only show the way ,joy,Positive,Elation
1492,i was failing to perform my expected duties and worrying about things i may have forgotten yesterday when i was starting to feel rather crappy ,sadness,Negative,Despair
1493,i sit here looking at the sentence i just typed i feel quite shocked ,surprise,Negative,Dismay
1494,i understand the feeling so i wouldnt be shocked ,surprise,Negative,Dismay
1495,ive been really angry with r and i feel like an idiot for trusting him in the first place ,joy,Neutral,Happiness
1496,i sighed feeling like she was doomed to fail at this sort of thing ,sadness,Negative,Despair
1497,i said quietly too tired to feel anguished anything but resigned ,sadness,Negative,Despair
1498,i know you do not have time to read a long email but i truly feel blessed to be a part of your remarkable journey ,love,Positive,Passion
1499,i feel most apprehensive about each week probably because it is the one most likely to unavoidably show me my shortcomings as a runner ,fear,Negative,Anxiety
1500,i feel what the law states suggestions is optimistic and beneficial for employees specially all those who wish to rapidly through ramadan he or she said ,joy,Positive,Elation
1501,i feel on the verge of tears from weariness i look at your sweet face and cant help but tenderly kiss your cheeks ,love,Positive,Passion
1502,i hope you can feel the presence of loved ones right by your side cheering you on and wanting the best for you cos youre not on your own you never are d ,love,Positive,Passion
1503,i was feeling brave tonight so i decided to go for my nd attempt at a vlog ,joy,Positive,Elation
1504,i was feeling melancholy on a cloudy rainy lonely easter sunday ,sadness,Negative,Despair
1505,i now feel like i look really ugly some people think i look retarted ,sadness,Neutral,Sadness
1506,i already feel it is for the bursts and hesitations of last year to mellow into engaged and rhythmic hops forward like his ,joy,Positive,Elation
1507,i feel petty for saying shes fucked up because technically she doesnt have to get me a gift ,anger,Negative,Resentment
1508,i feel like it here are ten of the many sites that keep me entertained on a daily basis ,joy,Positive,Elation
1509,i don t care what sort of bs lifestyle you think you live everyone wants to fit in and feel accepted ,joy,Negative,Discontentment
1510,i was having a horrible day and decided i would only feel better if i didnt have red hair anymore so i immedietly went to wal mart and found a box of hair color with the description soft dark brown ,joy,Neutral,Happiness
1511,i go to little tiny andover and take a walk at night i feel absolutely terrified ,fear,Neutral,Fear
1512,i really like it a lot and think its a great fit for me and i love talking to the patients and trying to help them feel less nervous or at least that someone cares about them for a few minutes ,fear,Positive,Courage
1513,i love that she doesnt always feel brave ,joy,Positive,Elation
1514,i live out number two definition which is that i have already had trouble engaging in the evening so now i am feeling as if the reason the aim for which i did this was not achieved and i am now unsuccessful ,sadness,Negative,Despair
1515,i was feeling pretty impressed with myself ,surprise,Positive,Excitement
1516,i feel whos work is worthwhile in this world and actually makes me cry ,joy,Positive,Elation
1517,i love autumn and everything that comes with it although i feel i am getting excited for christmas way too early this year me and my friends including a href http andthenwear ,joy,Positive,Elation
1518,my girlfriend sent me a letter with a shiny picture in it ,joy,Positive,Elation
1519,i worked today on writing and making sure the rest of the house was as perfect as i could make it to feel our own peaceful sense of order pm linda writing always makes you feel better and accomplished too ,joy,Positive,Elation
1520,im not feeling joyful or spiritually fit ,joy,Positive,Elation
1521,i do feel jaded very often ,sadness,Negative,Despair
1522,i feel grouchy or short tempered then the guilt kicks in ,anger,Negative,Resentment
1523,i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try ,fear,Positive,Courage
1524,i feel hateful of myself for being alone ,anger,Negative,Resentment
1525,i feel highly burdened and incapacitated by my stupid flaring legs ,sadness,Negative,Despair
1526,i feel fabulous ,joy,Positive,Elation
1527,i would watch him and feel frustrated he didn t realize that fifteen feet away was the ocean the freaking wave crashing covering the majority of the earth ocean ,anger,Negative,Resentment
1528,i find them downright amusing but other times i feel slugged in that vulnerable spot knowing that i ll never have a daughter ,fear,Neutral,Fear
1529,i feel there is really no point in me loving him after getting to know his true color ,love,Positive,Passion
1530,i can wear anything and not feel bad ,sadness,Negative,Despair
1531,i definitely feel like hot stuff strutting down the road in it a href http ,love,Positive,Passion
1532,i feel style of charming creepy macabre drinks the fountain ,joy,Negative,Discontentment
1533,i feel abit hopeless at times man darn itttt ,sadness,Negative,Despair
1534,i feel some control over caring for the little ones finances future decisions family tensions tough friendships you name it ,love,Positive,Passion
1535,i definitely recommend this for anyone who is feeling depressed or anxious ,sadness,Negative,Despair
1536,i feel like im still just caught in the rat race living a morally acceptable life without actually doing anything to serve you or live from a fire consuming heart ,joy,Positive,Elation
1537,i feel awfully blessed ,joy,Negative,Discontentment
1538,i am feeling a little less delicate i will attempt to clean up this hovel ,love,Positive,Passion
1539,when my beloved grandfather died ,sadness,Neutral,Sadness
1540,i feel my heart is in your hands your love is all that i demand so give me a chance to show you sweet romance a href http creativecommons ,love,Positive,Passion
1541,im happy to have this in my kitchen but it feels like someone rushed this out and cut corners ,anger,Positive,Determination
1542,i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared ,joy,Positive,Elation
1543,i do not believe there is any child that deep in the depths of their soul does not feel a longing for their mother ,love,Negative,Heartbreak
1544,i feel like this another one of the more underrated records on the album not going to be the most popular but an amazing record nonetheless ,joy,Positive,Elation
1545,i feel doubtful even when i am struggling a bit with my faith even when times seem dark or i feel alone i know that god is with me ,fear,Negative,Anxiety
1546,i feel awful that these thoughts are running around in my head but i can t help it ,sadness,Negative,Despair
1547,i feel inside of me that it was not in vain ,sadness,Negative,Despair
1548,i feel overwhelmed and humbled but i am alive to keep slugging and i m grateful for the chance ,surprise,Neutral,Surprise
1549,i keep feeling that sometimes one just has to fake it till they make it ,sadness,Negative,Despair
1550,i didn t feel smug as i added the hardships of the last five years and rounded off the sum to a nice even number ,joy,Negative,Discontentment
1551,i normally associate with a tough workout moving from side to side in bed has become more of an effort my sleep is pretty interrupted and uncomfortable in general although much better with the aid of a benadryl and there are times when i feel like i could never be energetic again ,joy,Positive,Elation
1552,i just naturally feel like i m a better player ,joy,Positive,Elation
1553,i feel angered by this ,anger,Neutral,Anger
1554,i go into work when im feeling low ill only feel worse all or nothing thinking e ,sadness,Neutral,Sadness
1555,i feel fantastic and i find that i have a renewed sense of strength and endurance ,joy,Positive,Elation
1556,i know someone who needs to feel respected above all else who maybe deep down worries hes not worthy of that respect because hes insecure about where he comes from ,joy,Neutral,Happiness
1557,i have found this site to be a huge help to keep my in the moment when im feeling stressed or missing drinking ,sadness,Neutral,Sadness
1558,i feel that there is something valuable about herzog s study particularly as it relates to the idea of art and media influencing society and culture ,joy,Positive,Elation
1559,i can sit out on my deck and soak up warmth and sun and sometimes it feels ok that the world is still standing even though i am not ,joy,Positive,Elation
1560,i think i might be lacking in judgment about what matters and what doesnt but why do i feel like this is just going to go away in the most unfortunate regretful way possible ,sadness,Negative,Despair
1561,i turn feeling ridiculously awkward and very self conscious to face zayne ,sadness,Negative,Despair
1562,i want to feel energetic again and when i do just that bit of exercise every day be it minutes i feel more awake energized and more focused ,joy,Positive,Elation
1563,i feel fucked is available to pre order from a href http churchoffuck ,anger,Positive,Determination
1564,i already feel myself becoming more casual in my fandom ,joy,Neutral,Happiness
1565,i kept doing research on bathroom renovations and all that research just resulted in me feeling more confused than ever about to how to go about tackling what to me felt like a mammoth task ,fear,Neutral,Fear
1566,i can be as kind as an angel but sometimes i can also be as mean as a devil i used to use harsh words when i feel irritated ,anger,Negative,Resentment
1567,i want to feel and maybe something i am feeling convinced myself of the nvm state of mind i am in after due deliberations ,joy,Neutral,Happiness
1568,im a firm believer that nothing makes a woman feel much more terrific than a great trip to the salon to lift her spirits a bit ,joy,Positive,Elation
1569,i always feel invigorated while listening to her that we can win this war against predatory school deform ,joy,Negative,Discontentment
1570,i an asylum seeker who i don t know how they live in this country without feeling assaulted ,fear,Neutral,Fear
1571,i often feel that i m being submissive by not being open and honest about my desires and needs on a regular basis ,sadness,Neutral,Sadness
1572,i feel the calm ,joy,Positive,Elation
1573,ive been feeling reluctant intermittent and lacklustre to pen my thoughts down ,fear,Negative,Anxiety
1574,i feel very numb at the moment ,sadness,Negative,Despair
1575,i think i am still feeling a little groggy from that ,sadness,Neutral,Sadness
1576,i feel like im a violent mother ,anger,Neutral,Anger
1577,i sure feel sorry for what happened to your friend diego he was your friend right ,sadness,Neutral,Sadness
1578,i write this i still have that vaguely spacy feeling and im not sure ill be an effective human being ,joy,Positive,Elation
1579,i were to ever get married i d have everything ready to offer to him because i ve got it together and when i do go out to clubs even the perfect good looking guys feel intimated after talking to me about my clever self ,joy,Positive,Elation
1580,i feel like i cant take it anymore i told my boyfriend and he is furious ,anger,Neutral,Anger
1581,ive found myself feeling low and at other times sad ,sadness,Negative,Despair
1582,i woke up feeling pretty rotten from the weekend this morning even though yesterday i felt fine ,sadness,Positive,Hopefulness
1583,i am nauseous and dizzy and feel all gloomy or at least not attached to my body anymore ,sadness,Negative,Despair
1584,i have been struggling with this feeling of being damaged ,sadness,Negative,Despair
1585,i am not in general feeling particularly virtuous this month ,joy,Positive,Elation
1586,im feeling adventurous and my laundry hamper ,joy,Neutral,Happiness
1587,i feel blessed to have had years with him and i am thankful for all i learned from him ,joy,Positive,Elation
